# OSU MPI Latency Test v5.7
# Size          Latency (us)
24352                 274.00
24384                 274.26
24416                 274.33
24448                 275.15
24480                 275.44
24512                 275.36
24544                 276.12
24576                 277.03
24608                 276.25
24640                 276.49
24672                 280.40
24704                 280.40
24736                 280.57
24768                 280.89
24800                 280.86
24832                 281.10
24864                 281.11
24896                 281.37
24928                 281.67
24960                 281.72
24992                 281.30
25024                 281.60
25056                 281.56
25088                 281.49
25120                 281.68
25152                 281.54
25184                 282.14
25216                 282.62
25248                 282.76
25280                 282.58
25312                 282.68
25344                 282.71
25376                 282.82
25408                 283.03
25440                 283.07
25472                 283.07
25504                 283.59
25536                 283.61
25568                 283.72
25600                 284.29
25632                 284.79
25664                 284.60
25696                 285.31
25728                 285.81
25760                 286.38
25792                 286.87
25824                 288.07
25856                 287.29
25888                 287.92
25920                 287.41
25952                 298.79
25984                 294.59
26016                 297.88
26048                 288.87
26080                 288.94
26112                 302.96
26144                 307.05
26176                 304.83
26208                 308.05
26240                 306.41
26272                 309.41
26304                 309.00
26336                 306.40
26368                 308.83
26400                 308.51
26432                 308.32
26464                 310.19
26496                 313.53
26528                 312.21
26560                 315.27
26592                 314.14
26624                 312.56
26656                 312.60
26688                 312.11
26720                 314.07
26752                 315.02
26784                 315.34
26816                 315.95
26848                 314.77
26880                 317.02
26912                 314.42
26944                 315.66
26976                 314.98
27008                 316.86
27040                 319.69
27072                 314.71
27104                 312.44
27136                 312.58
27168                 316.00
27200                 314.08
27232                 326.16
27264                 318.47
27296                 321.88
27328                 318.44
27360                 321.75
27392                 321.13
27424                 326.94
27456                 323.00
27488                 324.95
27520                 301.02
27552                 314.91
27584                 314.29
27616                 316.44
27648                 315.38
27680                 318.18
27712                 315.83
27744                 316.04
27776                 316.99
27808                 318.01
27840                 318.35
27872                 317.62
27904                 315.68
27936                 322.11
27968                 324.64
28000                 325.12
28032                 321.81
28064                 322.20
28096                 318.63
28128                 315.84
28160                 318.14
28192                 321.21
28224                 321.41
28256                 319.04
28288                 325.91
28320                 326.06
28352                 324.65
28384                 327.94
28416                 328.36
28448                 324.93
28480                 322.58
28512                 321.17
28544                 323.27
28576                 321.03
28608                 320.53
28640                 320.48
28672                 320.17
28704                 322.43
28736                 324.16
28768                 320.69
28800                 324.06
28832                 325.30
28864                 328.40
28896                 337.51
28928                 337.09
28960                 313.93
28992                 314.03
29024                 317.83
29056                 316.77
29088                 318.05
29120                 317.38
29152                 318.10
29184                 318.53
29216                 318.69
29248                 319.10
29280                 318.67
29312                 318.23
29344                 318.43
29376                 318.57
29408                 318.40
29440                 318.03
29472                 319.97
29504                 319.47
29536                 319.64
29568                 320.88
29600                 320.13
29632                 320.72
29664                 321.18
29696                 320.98
29728                 321.85
29760                 320.99
29792                 322.53
29824                 320.29
29856                 320.36
29888                 319.63
29920                 321.51
29952                 322.86
29984                 322.22
30016                 322.33
30048                 325.44
30080                 325.53
30112                 326.25
30144                 327.19
30176                 327.92
30208                 327.77
30240                 327.90
30272                 328.73
30304                 328.78
30336                 329.18
30368                 330.14
30400                 325.78
30432                 325.81
30464                 331.37
30496                 331.22
30528                 331.24
30560                 331.85
30592                 331.03
30624                 331.47
30656                 331.32
30688                 331.63
30720                 331.20
30752                 331.02
30784                 332.25
30816                 332.34
30848                 332.53
30880                 332.40
30912                 332.48
30944                 332.87
30976                 333.08
31008                 332.75
31040                 332.73
31072                 333.04
31104                 332.79
31136                 332.97
31168                 333.32
31200                 333.28
31232                 333.37
31264                 333.36
31296                 333.38
31328                 333.24
31360                 333.94
31392                 333.84
31424                 334.36
31456                 335.25
31488                 335.21
31520                 335.38
31552                 336.75
31584                 339.72
31616                 343.03
31648                 344.28
31680                 344.72
31712                 347.65
31744                 356.11
31776                 359.98
31808                 365.17
31840                 337.89
31872                 337.84
31904                 370.64
31936                 372.84
31968                 375.88
32000                 369.52
32032                 371.26
32064                 373.70
32096                 372.92
32128                 374.05
32160                 369.75
32192                 372.44
32224                 373.27
32256                 374.15
32288                 375.35
32320                 374.11
32352                 372.00
32384                 376.45
32416                 371.63
32448                 374.53
32480                 371.42
32512                 369.98
32544                 369.85
32576                 369.56
32608                 371.44
32640                 371.99
32672                 371.24
32704                 372.70
32736                 372.02
32768                 369.78
32800                 374.40
32832                 374.21
32864                 371.19
32896                 373.92
32928                 371.59
32960                 372.67
32992                 372.54
33024                 381.43
33056                 387.62
33088                 386.70
33120                 387.91
33152                 390.24
33184                 388.84
33216                 394.27
33248                 381.41
33280                 382.38
33312                 351.24
33344                 373.16
33376                 373.81
33408                 373.48
33440                 377.26
33472                 377.26
33504                 371.75
33536                 374.95
33568                 373.99
33600                 375.97
33632                 378.54
33664                 375.40
33696                 377.73
33728                 376.64
33760                 374.99
33792                 377.83
33824                 378.40
33856                 377.28
33888                 377.47
33920                 381.54
33952                 380.13
33984                 378.40
34016                 378.40
34048                 377.75
34080                 380.04
34112                 377.83
34144                 378.47
34176                 380.24
34208                 380.65
34240                 377.50
34272                 382.49
34304                 382.64
34336                 390.51
34368                 391.32
34400                 388.69
34432                 392.97
34464                 391.87
34496                 384.84
34528                 389.20
34560                 389.46
34592                 389.13
34624                 395.03
34656                 397.57
34688                 396.63
34720                 398.07
34752                 364.40
34784                 364.08
34816                 375.90
34848                 373.58
34880                 370.18
34912                 368.24
34944                 368.05
34976                 367.53
35008                 368.14
35040                 368.89
35072                 368.44
35104                 369.14
35136                 370.71
35168                 372.68
35200                 373.67
35232                 370.69
35264                 371.85
35296                 375.04
35328                 373.30
35360                 374.55
35392                 373.66
35424                 373.64
35456                 374.00
35488                 375.52
35520                 374.70
35552                 371.95
35584                 371.09
35616                 372.00
35648                 374.04
35680                 373.01
35712                 373.52
35744                 374.87
35776                 374.98
35808                 376.42
35840                 376.66
35872                 375.93
35904                 376.16
35936                 377.37
35968                 378.24
36000                 379.97
36032                 382.14
36064                 380.40
36096                 384.05
36128                 382.93
36160                 384.85
36192                 376.38
36224                 377.09
36256                 379.56
36288                 379.53
36320                 379.94
36352                 379.99
36384                 380.49
36416                 379.97
36448                 380.13
36480                 380.05
36512                 380.15
36544                 380.19
36576                 381.07
36608                 380.60
36640                 381.26
36672                 381.54
36704                 381.53
36736                 381.30
36768                 382.13
36800                 381.88
36832                 382.52
36864                 382.67
36896                 382.99
36928                 382.72
36960                 382.96
36992                 383.09
37024                 382.91
37056                 383.31
37088                 382.99
37120                 383.57
37152                 384.63
37184                 385.14
37216                 385.66
37248                 386.60
37280                 387.16
37312                 387.34
37344                 386.91
37376                 387.61
37408                 388.81
37440                 388.42
37472                 388.34
37504                 388.20
37536                 393.20
37568                 393.82
37600                 393.66
37632                 389.14
37664                 389.36
37696                 402.20
37728                 401.28
37760                 401.97
37792                 402.68
37824                 407.95
37856                 404.76
37888                 401.96
37920                 403.86
37952                 421.00
37984                 421.81
38016                 421.15
38048                 422.81
38080                 424.49
38112                 429.45
38144                 429.21
38176                 429.17
38208                 431.91
38240                 433.46
38272                 429.94
38304                 429.49
38336                 432.06
38368                 431.61
38400                 426.82
38432                 413.05
38464                 406.94
38496                 406.46
38528                 405.81
38560                 413.51
38592                 407.03
38624                 409.04
38656                 408.37
38688                 409.99
38720                 411.20
38752                 408.52
38784                 409.92
38816                 409.01
38848                 410.15
38880                 411.03
38912                 411.08
38944                 410.98
38976                 418.27
39008                 417.68
39040                 429.42
39072                 426.86
39104                 401.54
39136                 417.08
39168                 419.61
39200                 415.46
39232                 415.24
39264                 420.41
39296                 419.03
39328                 416.68
39360                 416.15
39392                 419.95
39424                 419.64
39456                 418.03
39488                 420.60
39520                 418.44
39552                 419.50
39584                 417.82
39616                 421.63
39648                 428.45
39680                 422.04
39712                 421.09
39744                 421.33
39776                 424.33
39808                 421.47
39840                 423.03
39872                 421.15
39904                 425.09
39936                 422.38
39968                 423.99
40000                 423.94
40032                 426.76
40064                 425.62
40096                 424.09
40128                 427.48
40160                 425.23
40192                 426.50
40224                 426.13
40256                 425.54
40288                 429.11
40320                 433.25
40352                 433.92
40384                 435.27
40416                 440.34
40448                 439.95
40480                 442.89
40512                 441.67
40544                 413.82
40576                 414.26
40608                 423.32
40640                 422.12
40672                 421.11
40704                 421.93
40736                 421.20
40768                 422.16
40800                 421.47
40832                 422.43
40864                 422.38
40896                 422.82
40928                 423.66
40960                 423.68
40992                 423.76
41024                 423.48
41056                 424.08
41088                 423.60
41120                 424.99
41152                 425.64
41184                 425.87
41216                 426.20
41248                 425.38
41280                 425.16
41312                 428.00
41344                 425.10
41376                 426.33
41408                 428.15
41440                 427.31
41472                 428.05
41504                 427.88
41536                 428.17
41568                 429.12
41600                 429.80
41632                 428.84
41664                 429.56
41696                 430.17
41728                 432.40
41760                 433.26
41792                 435.13
41824                 436.98
41856                 439.45
41888                 441.39
41920                 439.36
41952                 442.78
41984                 427.51
42016                 427.62
42048                 429.43
42080                 429.52
42112                 429.40
42144                 429.74
42176                 429.85
42208                 429.87
42240                 430.23
42272                 429.93
42304                 430.56
42336                 430.29
42368                 430.54
42400                 430.61
42432                 431.06
42464                 431.45
42496                 431.37
42528                 431.42
42560                 432.15
42592                 431.82
42624                 432.42
42656                 432.49
42688                 432.98
42720                 433.04
42752                 432.88
42784                 433.19
42816                 433.81
42848                 433.79
42880                 434.24
42912                 434.45
42944                 435.47
42976                 435.66
43008                 436.44
43040                 436.49
43072                 436.70
43104                 437.85
43136                 437.22
43168                 437.64
43200                 438.05
43232                 437.51
43264                 438.53
43296                 438.65
43328                 441.27
43360                 440.97
43392                 441.64
43424                 439.47
43456                 439.67
43488                 449.26
43520                 449.19
43552                 450.90
43584                 448.50
43616                 449.23
43648                 448.03
43680                 449.99
43712                 449.33
43744                 449.45
43776                 450.56
43808                 449.76
43840                 448.95
43872                 450.72
43904                 450.47
43936                 450.96
43968                 450.77
44000                 452.29
44032                 450.79
44064                 452.78
44096                 451.64
44128                 450.82
44160                 453.29
44192                 452.56
44224                 453.09
44256                 452.57
44288                 451.68
44320                 451.48
44352                 452.64
44384                 452.16
44416                 452.61
44448                 452.92
44480                 453.69
44512                 464.66
44544                 465.22
44576                 464.88
44608                 464.70
44640                 469.29
44672                 471.59
44704                 472.36
44736                 484.53
44768                 480.58
44800                 476.82
44832                 477.14
44864                 477.80
44896                 451.39
44928                 472.52
44960                 469.70
44992                 473.19
45024                 475.41
45056                 468.15
45088                 471.13
45120                 469.47
45152                 467.73
45184                 471.30
45216                 470.87
45248                 470.26
45280                 470.32
45312                 471.97
45344                 470.61
45376                 469.20
45408                 472.02
45440                 470.79
45472                 471.06
45504                 472.50
45536                 473.44
45568                 472.54
45600                 474.55
45632                 473.96
45664                 475.09
45696                 473.87
45728                 473.81
45760                 472.63
45792                 473.85
45824                 474.22
45856                 475.13
45888                 474.96
45920                 475.98
45952                 479.50
45984                 478.73
46016                 478.23
46048                 479.24
46080                 484.90
46112                 482.55
46144                 483.45
46176                 486.71
46208                 487.99
46240                 487.61
46272                 489.57
46304                 492.10
46336                 464.27
46368                 464.31
46400                 473.95
46432                 474.93
46464                 473.44
46496                 474.15
46528                 473.16
46560                 474.30
46592                 475.28
46624                 474.30
46656                 474.01
46688                 476.93
46720                 476.03
46752                 476.38
46784                 475.26
46816                 478.14
46848                 478.37
46880                 480.61
46912                 480.75
46944                 478.50
46976                 479.51
47008                 479.80
47040                 479.49
47072                 478.68
47104                 479.79
47136                 480.19
47168                 479.86
47200                 481.89
47232                 480.07
47264                 484.96
47296                 482.78
47328                 481.15
47360                 482.83
47392                 479.50
47424                 478.95
47456                 480.86
47488                 481.77
47520                 483.30
47552                 483.14
47584                 485.81
47616                 485.21
47648                 488.49
47680                 490.82
47712                 488.58
47744                 487.49
47776                 476.29
47808                 476.41
47840                 480.74
47872                 480.89
47904                 481.04
47936                 480.78
47968                 480.93
48000                 481.67
48032                 480.79
48064                 481.06
48096                 481.06
48128                 480.89
48160                 480.89
48192                 480.90
48224                 481.56
48256                 481.81
48288                 481.76
48320                 481.99
48352                 482.17
48384                 482.50
48416                 482.17
48448                 483.14
48480                 483.34
48512                 482.80
48544                 482.07
48576                 482.92
48608                 482.92
48640                 482.40
48672                 482.53
48704                 482.44
48736                 483.79
48768                 483.60
48800                 483.85
48832                 484.61
48864                 486.07
48896                 485.61
48928                 486.95
48960                 490.21
48992                 495.52
49024                 499.08
49056                 500.72
49088                 501.45
49120                 506.94
49152                 505.63
49184                 503.29
49216                 488.99
49248                 489.13
49280                 513.15
49312                 511.90
49344                 501.85
49376                 495.86
49408                 497.56
49440                 497.79
49472                 503.59
49504                 500.03
49536                 498.98
49568                 498.27
49600                 498.52
49632                 502.77
49664                 498.22
49696                 498.82
49728                 502.76
49760                 498.04
49792                 499.52
49824                 498.78
49856                 500.17
49888                 499.38
49920                 499.11
49952                 499.05
49984                 499.30
50016                 500.62
50048                 499.50
50080                 500.19
50112                 501.29
50144                 499.98
50176                 501.79
50208                 501.31
50240                 502.99
50272                 502.08
50304                 502.70
50336                 503.50
50368                 503.00
50400                 504.44
50432                 504.81
50464                 503.93
50496                 505.11
50528                 505.40
50560                 508.38
50592                 512.67
50624                 509.18
50656                 512.45
50688                 502.00
50720                 515.17
50752                 516.13
50784                 514.97
50816                 512.66
50848                 517.84
50880                 516.21
50912                 515.12
50944                 514.68
50976                 515.40
51008                 516.61
51040                 515.43
51072                 517.36
51104                 517.98
51136                 519.55
51168                 521.71
51200                 522.59
51232                 528.65
51264                 525.36
51296                 523.62
51328                 523.51
51360                 525.03
51392                 522.65
51424                 520.23
51456                 521.72
51488                 521.58
51520                 521.94
51552                 521.15
51584                 519.65
51616                 519.69
51648                 521.93
51680                 521.22
51712                 521.59
51744                 522.22
51776                 525.70
51808                 526.24
51840                 529.16
51872                 530.76
51904                 532.43
51936                 528.82
51968                 530.74
52000                 535.09
52032                 534.65
52064                 534.85
52096                 533.01
52128                 514.75
52160                 515.13
52192                 525.48
52224                 526.34
52256                 525.61
52288                 527.80
52320                 529.21
52352                 526.89
52384                 525.92
52416                 525.83
52448                 528.55
52480                 529.88
52512                 530.01
52544                 528.83
52576                 530.64
52608                 528.94
52640                 530.67
52672                 526.98
52704                 529.21
52736                 529.87
52768                 531.11
52800                 528.77
